2015-08-06 08:02:16,845 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-06 08:02:16,848 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-08-06 08:02:16,854 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-06 08:02:16,859 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-08-06 08:02:17,144 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Appium.Maven:appium.WebApp:0.0.1-SNAPSHOT @ C:\Users\htan\SeleniumAppiumWorkspace\AppiumAndroidWorkspace\Appium.WebApp\pom.xml.
2015-08-06 08:02:17,691 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for commons-codec:commons-codec:jar:1.9 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2015-08-06 08:02:20,251 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-06 08:02:20,267 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-08-06 08:02:20,281 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-06 08:02:20,290 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-08-06 08:02:26,758 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Json:Json.Maven:0.0.1-SNAPSHOT @ C:\Users\htan\SeleniumAppiumWorkspace\SeleniumWebServicesWorkspace\Json.Maven\pom.xml.
2015-08-06 08:02:28,650 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-06 08:02:28,654 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
